City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
429,faanui,PF,-16.4833,-151.75,81.1,73,7,16.98,clear sky
430,riyadh,SA,24.6877,46.7219,82.76,30,87,22.64,overcast clouds
431,alofi,NU,-19.0595,-169.9187,81.1,74,57,8.48,broken clouds
432,porbandar,IN,21.6422,69.6093,81.91,72,0,8.34,clear sky
433,iguape,BR,-24.7081,-47.5553,71.56,66,83,10.8,broken clouds
434,jurmala,LV,56.968,23.7704,42.82,56,0,10.36,clear sky
435,half moon bay,US,37.4636,-122.4286,58.21,93,100,8.05,mist
436,cascais,PT,38.6979,-9.4215,79.95,50,20,10.36,few clouds
437,trelew,AR,-43.249,-65.3051,63.64,42,5,13.38,clear sky
438,eureka,US,40.8021,-124.1637,46.2,74,87,5.01,overcast clouds
439,sala,MA,34.0389,-6.8166,85.64,38,0,18.41,clear sky
440,ahuimanu,US,21.4447,-157.8378,72.19,91,100,3.0,light rain
441,dufftown,GB,57.4333,-3.1333,60.55,52,91,9.33,overcast clouds
442,sioux lookout,CA,50.1001,-91.917,18.95,86,100,9.26,overcast clouds
443,lavrentiya,RU,65.5833,-171.0,24.64,96,100,10.71,light snow
444,owasso,US,36.2695,-95.8547,50.92,46,100,14.97,overcast clouds
445,bud,US,39.447,-86.1758,55.35,54,98,7.61,overcast clouds
446,sur,OM,22.5667,59.5289,88.97,43,5,5.39,clear sky
447,pilar,BR,-9.5972,-35.9567,87.73,49,29,9.35,scattered clouds
448,vereya,RU,55.3447,36.1719,35.44,88,100,12.57,overcast clouds
449,yeppoon,AU,-23.1333,150.7333,65.98,72,26,11.14,scattered clouds
450,wadi musa,JO,30.3222,35.4793,66.47,8,6,2.15,clear sky
451,mogadishu,SO,2.0371,45.3438,82.89,80,82,17.54,broken clouds
452,sorland,NO,67.667,12.6934,42.64,93,97,13.18,overcast clouds
453,san antero,CO,9.3741,-75.7589,86.2,67,76,7.43,broken clouds
454,mendeleyevo,RU,56.0333,37.2167,37.08,75,40,22.37,scattered clouds
455,buraydah,SA,26.326,43.975,84.76,15,0,16.02,clear sky
456,coquimbo,CL,-29.9533,-71.3436,63.3,67,0,5.59,clear sky
457,shelburne,CA,44.0787,-80.2041,43.75,54,23,12.24,few clouds
458,tarko-sale,RU,64.9225,77.785,24.08,96,100,20.8,snow
459,whyalla,AU,-33.0333,137.5833,72.79,45,1,14.85,clear sky
460,maragogi,BR,-9.0122,-35.2225,86.22,67,32,13.06,scattered clouds
461,sorong,ID,-0.8833,131.25,82.31,81,85,14.36,moderate rain
462,sao fidelis,BR,-21.6461,-41.7469,79.75,54,4,1.03,clear sky
463,port hardy,CA,50.6996,-127.4199,39.61,69,2,1.86,clear sky
464,gizo,SB,-8.103,156.8419,81.86,74,100,5.66,light rain
465,broome,US,42.2506,-75.833,49.8,78,100,13.8,overcast clouds
466,gopalpur,IN,19.2667,84.9167,81.81,70,93,13.82,overcast clouds
467,tias,ES,28.9611,-13.645,69.48,78,0,17.27,clear sky
468,ca mau,VN,9.1769,105.15,78.84,86,32,2.95,scattered clouds
469,bitung,ID,1.4451,125.1824,77.85,85,68,8.12,broken clouds
470,molina,CL,-35.1167,-71.2833,67.21,41,0,5.84,clear sky
471,dzaoudzi,YT,-12.7887,45.2699,84.09,79,40,8.05,scattered clouds
472,cartagena,CO,10.3997,-75.5144,86.94,64,52,8.01,broken clouds
473,sitka,US,57.0531,-135.33,37.29,75,40,3.44,scattered clouds
