City_ID,City,Country,Current Description,Max Temp,Lat,Lng,Hotel Name
480,hidalgo,MX,few clouds,79.32,20.5,-99.0,
481,axim,GH,moderate rain,79.0,4.8699,-2.2405,Axim Beach Resort And Spa
482,safaga,EG,clear sky,79.3,26.7292,33.9365,Lamar Resort Abu Soma
485,rameswaram,IN,scattered clouds,86.0,9.2833,79.3,Daiwik Hotels Rameswaram
490,cotonou,BJ,overcast clouds,84.38,6.3654,2.4183,Novotel Cotonou Orisha
493,la vega,DO,overcast clouds,84.27,19.2221,-70.5296,Hotel Rey
496,kalianget,ID,overcast clouds,81.28,-7.05,113.9333,Pesanggrahan Garam
498,hyeres,FR,clear sky,81.25,43.1167,6.1167,ibis budget Hyères Centre-Ville
502,lakatoro,VU,overcast clouds,79.21,-16.0999,167.4164,Lakatoro Palm Lodge
503,tadine,NC,clear sky,76.87,-21.55,167.8833,
504,port-gentil,GA,thunderstorm,84.16,-0.7193,8.7815,Fengshui Residence
512,namatanai,PG,light rain,79.09,-3.6667,152.4333,Seagulls Inn Namatani
514,tamandare,BR,scattered clouds,87.01,-8.7597,-35.1047,Pousada 100 Passos
517,alugan,PH,clear sky,78.35,12.2188,125.4808,JM Lodge
521,tessalit,ML,broken clouds,86.32,20.1986,1.0114,
526,cabinda,AO,broken clouds,81.18,-5.55,12.2,Hotel Maiombe
530,kieta,PG,light rain,78.71,-6.2167,155.6333,Uruna Bay Retreat
532,wum,CM,moderate rain,75.88,6.3833,10.0667,Wum Council Hall
534,puerto ayacucho,VE,overcast clouds,85.78,5.6639,-67.6236,Posada Turistica Manapiare
536,yanam,IN,few clouds,79.07,16.7333,82.2167,The Regency Hotel
537,natal,BR,few clouds,89.82,-5.795,-35.2094,Villa Park Hotel | Natal
538,tabou,CI,light rain,82.98,4.423,-7.3528,hotêl doufoulougou
539,campina verde,BR,clear sky,79.75,-19.5356,-49.4864,Hotel Lino
540,colares,PT,few clouds,79.79,38.7992,-9.4469,Arribas Sintra Hotel
544,palamos,ES,clear sky,77.99,41.8484,3.1291,Hotel Rosamar
550,muli,MV,scattered clouds,84.65,2.9167,73.5667,Medhufushi Island Resort
552,kimbe,PG,light rain,76.37,-5.5502,150.1429,Kimbe Bay Hotel
554,mbanza-ngungu,CD,light rain,77.04,-5.25,14.8667,Hotel Full Business
557,davila,PH,clear sky,78.46,18.4726,120.5763,Blue Ridge Beach Resort
563,mahibadhoo,MV,few clouds,84.99,3.7833,72.9667,Omadhoo Inn
573,finschhafen,PG,overcast clouds,79.0,-6.6024,147.8681,Cossam Guest House
574,bintulu,MY,overcast clouds,77.77,3.1667,113.0333,900 Boutique INN
577,pascagoula,US,scattered clouds,83.03,30.3658,-88.5561,Regency Inn
582,waingapu,ID,scattered clouds,79.9,-9.6567,120.2641,Pondok Wisata Elim
586,manaure,CO,scattered clouds,88.29,11.7751,-72.4445,Hotel Palaaima
591,coahuayana,MX,scattered clouds,85.46,18.7333,-103.6833,El rranchito michuacan de ocampos
594,waddan,LY,clear sky,84.09,29.1614,16.139,محل الشريف محمد العايب
595,labrea,BR,overcast clouds,78.39,-7.2586,-64.7981,Hotel Novo Horizonte
598,siocon,PH,scattered clouds,78.89,7.7061,122.1353,ABS Hotel
600,cayhagan,PH,few clouds,78.58,9.6697,122.4256,Melrose Beach Resort
602,abu dhabi,AE,clear sky,89.62,24.4667,54.3667,Beach Rotana
603,la asuncion,VE,few clouds,81.25,11.0333,-63.8628,Colinas de Matasiete
611,dire dawa,ET,overcast clouds,80.24,9.5931,41.8661,Samrat Hotel
612,port blair,IN,mist,80.64,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
613,aripuana,BR,light rain,81.97,-9.1667,-60.6333,
614,fiumicino,IT,clear sky,75.76,41.7675,12.2291,Al Porticciolo Hotel
615,bardiyah,LY,overcast clouds,77.16,31.7561,25.0865,بورتو بردية
619,bairiki,KI,few clouds,78.8,1.3292,172.9752,Tarawa Boutique Hotel
624,novo aripuana,BR,overcast clouds,86.23,-5.1206,-60.3797,Hotel Ezequiel
626,houma,US,broken clouds,82.99,29.5958,-90.7195,Courtyard by Marriott Houma
627,paraiso,CR,overcast clouds,76.96,9.8383,-83.8656,Hotel Rinconcito Verde
628,meulaboh,ID,scattered clouds,79.79,4.1363,96.1285,Kost Pria
631,karratha,AU,light rain,84.69,-20.7377,116.8463,ibis Styles Karratha
634,gamba,GA,overcast clouds,81.75,-2.65,10.0,
640,tomatlan,MX,overcast clouds,85.78,19.9333,-105.25,El Salvial
641,the valley,AI,scattered clouds,82.54,18.217,-63.0578,CeBlue Villas & Beach Resort
644,vila velha,BR,few clouds,82.35,-20.3297,-40.2925,Hotel Vitória Palace
646,farafangana,MG,few clouds,75.96,-22.8167,47.8333,Miarina
647,noumea,NC,clear sky,75.99,-22.2763,166.4572,Hôtel Le Lagon
656,tiarei,PF,light rain,77.02,-17.5333,-149.3333,Le Rocher de Tahiti
659,buala,SB,moderate rain,79.21,-8.145,159.5921,Maringe Lagoon Lodge
661,oranjestad,AW,clear sky,78.69,12.524,-70.027,Divi Village Golf & Beach Resort
665,port hedland,AU,clear sky,80.65,-20.3167,118.5667,The Esplanade Hotel
671,banjar,ID,overcast clouds,77.92,-8.19,114.9675,The Hamsa Resort
672,baghdad,IQ,clear sky,76.78,33.3406,44.4009,Baghdad Hotel
681,perpignan,FR,clear sky,76.82,42.75,2.75,Le moulin a huile de l'agly
